response_id,timestamp,residency,age,crypto_experience,portfolio_btc_eth,portfolio_stablecoins,portfolio_memecoins,portfolio_nfts,portfolio_none,info_telegram,info_twitter_x,info_youtube,info_lihkg,info_discord,info_xiaohongshu,investment_driver,platform_usage,factor_user_experience,factor_fee_structure,factor_asset_variety,factor_community_vibe,factor_regulatory_compliance,friction_point,word_reliable,word_safe,word_institutional,word_boring,word_premium,word_restrictive,word_elite,trust_score,engagement_score,pizza_day_awareness,incentive_preference,safe_punk_receptivity
R0076,2026-02-20 08:02:27,Hong Kong,23,Interested but haven't started,1,1,0,0,0,1,1,1,0,0,0,Speculation (Quick gains),Offshore (Binance/OKX/Bybit),4,4,5,3,2,Complex KYC,0,1,1,1,0,1,0,6,4,Heard of it,Trading Fee Rebates,Likely would change perception
R0077,2026-02-20 09:32:12,Hong Kong,20,Less than 1 year,1,0,0,0,0,1,1,0,1,0,0,Speculation (Quick gains),Licensed (HashKey/OSL),4,5,4,2,2,High Fees,1,0,1,0,0,0,0,6,4,No,Exclusive Airdrop of Trending Tokens,Definitely would not change perception
R0078,2026-02-20 13:28:41,Hong Kong,19,3+ years,1,1,1,1,0,0,0,0,1,0,0,Community & Narrative,Offshore (Binance/OKX/Bybit),5,2,4,5,3,High Fees,0,0,0,0,0,0,0,5,4,No,Physical Pizza Party in Central,Neutral
R0079,2026-02-20 15:36:07,Hong Kong,21,Less than 1 year,1,1,0,0,0,1,1,1,0,1,0,Speculation (Quick gains),Offshore (Binance/OKX/Bybit),3,4,3,4,5,"Lack of ""Degen"" Culture",0,0,1,0,0,0,0,4,1,Heard of it,Exclusive Airdrop of Trending Tokens,Neutral
R0080,2026-02-20 17:07:42,Hong Kong,19,1–3 years,1,1,0,0,0,1,1,0,1,0,0,Technology,Offshore (Binance/OKX/Bybit),4,3,5,3,5,"Lack of ""Degen"" Culture",0,1,0,1,0,1,0,4,3,Heard of it,Limited Edition NFT,Likely would change perception
R0081,2026-02-20 19:22:55,Hong Kong,33,1–3 years,1,1,0,0,0,0,1,0,0,0,1,Financial Independence,Offshore (Binance/OKX/Bybit),3,4,4,4,4,PI Restrictions,0,0,1,0,1,1,0,4,2,Heard of it,Trading Fee Rebates,Unlikely to change perception
R0082,2026-02-20 23:21:01,Hong Kong,19,Less than 1 year,1,1,0,0,0,0,1,1,1,1,0,Technology,Offshore (Binance/OKX/Bybit),4,5,4,3,3,"Lack of ""Degen"" Culture",0,0,1,1,0,0,0,6,2,"Yes, I celebrate it",Physical Pizza Party in Central,Neutral
R0083,2026-02-21 00:21:08,Hong Kong,22,Interested but haven't started,0,1,0,1,0,1,0,0,0,0,0,Speculation (Quick gains),Offshore (Binance/OKX/Bybit),3,5,3,4,5,"Lack of ""Degen"" Culture",1,0,0,0,1,0,0,3,4,"Yes, I celebrate it",Limited Edition NFT,Likely would change perception
R0084,2026-02-21 01:17:40,Hong Kong,33,3+ years,0,1,0,0,0,1,1,1,0,0,1,Financial Independence,Licensed (HashKey/OSL),4,4,3,3,4,"Lack of ""Degen"" Culture",0,0,0,0,0,0,0,6,3,No,Exclusive Airdrop of Trending Tokens,Neutral
R0085,2026-02-21 05:29:54,Hong Kong,35,3+ years,0,1,1,0,0,0,1,0,0,0,0,Speculation (Quick gains),OTC Stores,5,4,3,4,2,"Lack of ""Degen"" Culture",1,1,0,0,0,0,0,5,1,"Yes, I celebrate it",Exclusive Airdrop of Trending Tokens,Neutral
R0086,2026-02-21 05:59:04,Hong Kong,24,1–3 years,0,0,1,1,0,1,0,0,0,1,1,Financial Independence,Offshore (Binance/OKX/Bybit),4,4,3,3,4,Complex KYC,0,1,1,1,0,0,0,6,4,Heard of it,Trading Fee Rebates,Likely would change perception
R0087,2026-02-21 06:54:37,Hong Kong,34,3+ years,1,1,0,0,0,1,0,1,1,0,0,Speculation (Quick gains),OTC Stores,4,5,3,5,3,"Lack of ""Degen"" Culture",0,1,1,1,0,0,0,7,1,Heard of it,Physical Pizza Party in Central,Neutral
R0088,2026-02-21 06:56:07,Hong Kong,28,1–3 years,1,0,1,0,0,0,1,0,0,0,1,Community & Narrative,Offshore (Binance/OKX/Bybit),4,4,3,2,4,High Fees,1,0,0,1,0,0,0,6,2,Heard of it,Physical Pizza Party in Central,Likely would change perception
R0089,2026-02-21 14:27:08,Hong Kong,19,1–3 years,1,0,0,0,0,0,1,0,0,0,1,Financial Independence,OTC Stores,4,5,3,4,4,No USDT Pairs,0,0,1,1,1,0,0,3,3,No,Exclusive Airdrop of Trending Tokens,Definitely would not change perception
R0090,2026-02-21 15:25:41,Hong Kong,18,Less than 1 year,1,1,1,0,0,1,1,0,1,1,1,Financial Independence,Offshore (Binance/OKX/Bybit),4,5,5,5,3,"Lack of ""Degen"" Culture",1,1,1,1,0,0,0,4,4,Heard of it,Exclusive Airdrop of Trending Tokens,Likely would change perception
R0091,2026-02-21 22:27:20,Hong Kong,20,3+ years,1,0,0,1,0,1,0,1,0,0,0,Financial Independence,Offshore (Binance/OKX/Bybit),5,5,2,3,2,"Lack of ""Degen"" Culture",0,1,1,0,1,1,1,6,2,"Yes, I celebrate it",Trading Fee Rebates,Likely would change perception
R0092,2026-02-21 23:32:09,Hong Kong,19,1–3 years,0,0,0,1,0,1,1,0,0,1,0,Community & Narrative,Offshore (Binance/OKX/Bybit),4,3,4,2,5,"Lack of ""Degen"" Culture",1,0,1,0,1,0,0,4,5,Heard of it,Limited Edition NFT,Likely would change perception
R0093,2026-02-22 05:40:53,Hong Kong,20,1–3 years,0,0,1,1,0,1,1,0,1,0,0,Financial Independence,Offshore (Binance/OKX/Bybit),4,4,4,4,3,"Lack of ""Degen"" Culture",0,1,1,1,0,0,1,6,4,"Yes, I celebrate it",Limited Edition NFT,Neutral
